id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL04B-L1-01,Level 1,multiple_choice,某案同時含修繕、空調設備與水電，承辦人未分析各項金額比重，直接認定為財物採購。依第04講，主要風險為何？,混合標未依權重正確歸類，可能導致程序適用錯誤,只要有設備就一定是財物採購，沒有風險,採購分類完全不影響後續程序,可以由得標廠商事後決定採購類別,A,1,TRUE,第04講強調工程、財物、勞務可同時存在時，應依各項金額或比重判定主類別；分類錯誤會導致程序適用錯誤。,分類錯誤風險,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-02,Level 1,multiple_choice,某案修繕工程占61%，空調設備與水電占39%。依第04講的親子館案例精神，較適合如何認定？,以工程標認定,以勞務標認定,以財產出租認定,以人事任用認定,A,1,TRUE,第04講案例中修繕工程占比最高約61%，故以工程標認定，空調等設備與水電屬次要。,工程標認定,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-03,Level 1,multiple_choice,"某採購金額150萬元，承辦人認為未達1,000萬元所以不用公告。依第04講，錯誤在哪裡？",公告金額為100萬元以上，達公告金額仍須依法公告招標,所有採購都必須達2億元才需公告,公告金額與查核金額完全相同,150萬元一定屬小額採購,A,1,TRUE,第04講整理公告金額為100萬元以上，須公告招標；查核金額是另一個門檻，不可混淆。,門檻誤判,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-04,Level 1,multiple_choice,"某勞務採購預算約1,180萬元。依第04講台電案例，最應注意何事？",已達本講示意之查核金額，應注意主管機關查核範圍與程序,一定屬小額採購,只要是勞務就永遠不會達查核金額,只要結算可能低於預算，就不用管預算門檻,A,1,TRUE,"第04講以台電勞務採購預算約1,180萬元為例，說明預算逾查核金額，結算則依實作量核算。",查核金額,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-05,Level 1,multiple_choice,某公告金額以上工程案，承辦人不公告，只私下找熟識廠商投標。依第04講公開招標精神，主要問題為何？,公開招標應讓任何廠商均可投標，私下找特定廠商違背公開競爭精神,公開招標本來就是只找熟識廠商,公告金額以上一律不得公告,採購法只保護承辦人方便,A,1,TRUE,第04講整理公開招標為任何廠商均可投標；達公告金額以上依法公告。,公開招標,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-06,Level 1,multiple_choice,某工程因開幕壓力極大，承辦人說：『先封板，查驗照片以後再補。』依第04講，最主要風險是什麼？,未落實查驗即封板或隱蔽，可能導致驗收受阻、返工增加成本與工期,這是如期如質的標準作法,只要趕上開幕，品質紀錄可全部省略,封板後就不需要驗收,A,1,TRUE,第04講將趕工犧牲品質列為常見風險，特別提醒未落實查驗即封板或隱蔽會使驗收受阻並增加返工成本。,趕工風險,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-07,Level 1,multiple_choice,某工程工期很短，但仍要求材料送驗、停留點照片、缺失改善紀錄。依第04講，這反映何種精神？,如期也要如質，工期壓縮與品質維持需同步,品質文件越多越違法,趕工時可完全排除職安衛,工程只要便宜即可,A,1,TRUE,第04講強調如期、如質，工期壓縮與品質維持需同步，品質管理、材料查驗與紀錄不可省略。,如期如質,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-08,Level 1,multiple_choice,某場館1至3樓需先開放，4樓暫作儲放區。依第04講，較完整的做法為何？,依契約與監造同意辦理分段啟用與工區劃分，並留存紀錄,使用單位想開就開，不需任何紀錄,分段啟用一定違法,只要口頭同意即可，不需契約或監造意見,A,1,TRUE,第04講親子館案例提到1–3樓優先開放、4樓管制作儲放區，配合時程辦理分段使用，需依契約及監造同意並留存紀錄。,分段啟用,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-09,Level 1,multiple_choice,空調設備進場時，承包商只說『這台一定合格』，未提供規格書、檢測或能效資料。依第04講，缺少什麼？,材料設備進場前應檢附出廠證明、規格書、檢測報告或能效標示等文件,只缺少廠商廣告海報,完全沒有缺少，口頭保證即可,缺少的是承辦人私人同意書,A,1,TRUE,第04講列明材料設備進場前應檢附出廠證明、規格書、耐燃等級、SGS或等同檢測、能效標示等。,材料文件,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-10,Level 1,multiple_choice,某機關認為品質保證完全是廠商的事，機關不用管理。依第04講，何者正確？,機關與廠商均負品質保證義務,只有廠商負責，機關完全無義務,只有民眾負責,品質保證與採購完全無關,A,1,TRUE,第04講品質查驗精神明確指出機關與廠商均負品質保證義務。,品質責任,Notion：政府採購法 / 第04講 / 不同方向
GPL04B-L1-11,Level 1,multiple_choice,某工程自主檢查表空白，專任工程人員督導紀錄也沒有。依第04講，查核時最可能出現什麼問題？,專任人員不到位且品管留痕不足，難以說明施工品質,表示品管非常完整,可以取代材料送驗,只要廠商口頭說明即可完全補正,A,1,TRUE,第04講列專任人員不到位為常見風險，自主檢查、督導紀錄空白時，查核時難以說明。,專任工程人員,Notion：政府採購法 / 第04講 / 不同方向
