id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL01-L1-01,Level 1,multiple_choice,依第01講整理，政府採購法第1條所揭示的目的，下列何者最不符合本講內容？,建立採購制度,公平公開採購程序,提升採購效率與功能,使採購完全不受監督,D,1,TRUE,第01講整理第1條目的為建立制度、公平公開、提升效率與功能、確保品質；完全不受監督顯然不符。,立法目的,Notion：政府採購法 / 第01講
GPL01-L1-02,Level 1,multiple_choice,第01講給的採購法目的口訣為何？,公平、公開、效率、品質,低價、快速、秘密、彈性,補助、審計、處罰、監察,公告、比價、議價、保固,A,1,TRUE,本講明確列出考試口訣：公平、公開、效率、品質。,立法目的,Notion：政府採購法 / 第01講
GPL01-L1-03,Level 1,multiple_choice,依第01講，政府採購法第2條所整理的採購三大類為何？,工程、財物、勞務,工程、補助、審計,財物、稅務、人事,勞務、行政、司法,A,1,TRUE,第01講將採購分為工程採購、財物採購與勞務採購。,採購類型,Notion：政府採購法 / 第01講
GPL01-L1-04,Level 1,multiple_choice,下列何者依第01講最可能被歸類為工程採購？,採購辦公室印表機,委託顧問公司授課,辦理下水道工程,租用公務車,C,1,TRUE,本講列舉建築、土木、水利、交通、環保、能源、醫療福利設施等，並以道路、捷運、下水道工程為例。,工程採購,Notion：政府採購法 / 第01講
GPL01-L1-05,Level 1,multiple_choice,某機關購買電腦、印表機與辦公家具，依第01講最可能屬於何種採購？,工程採購,財物採購,勞務採購,限制性採購,B,1,TRUE,第01講列舉電腦、印表機、辦公家具、公務車為財物採購例子。,財物採購,Notion：政府採購法 / 第01講
GPL01-L1-06,Level 1,multiple_choice,某機關委外辦理系統維護與教育訓練，依第01講最可能屬於何種採購？,工程採購,財物採購,勞務採購,巨額採購,C,1,TRUE,勞務採購包含資訊服務、維修、訓練、專業服務、技術服務等。,勞務採購,Notion：政府採購法 / 第01講
GPL01-L1-07,Level 1,multiple_choice,依第01講，下列何者屬於一定適用政府採購法的主體？,政府機關,未受補助的私人公司,純私人買賣雙方,沒有政府資金的民間社團,A,1,TRUE,第01講列出一定適用者包含政府機關、公立學校與公營事業。,適用主體,Notion：政府採購法 / 第01講
GPL01-L1-08,Level 1,multiple_choice,依第01講，下列何者組合均屬一定適用政府採購法？,政府機關、公立學校、公營事業,私立學校、私人公司、個人商號,供應商、下包商、投標廠商,自然人、民間社團、外國公司,A,1,TRUE,本講明列政府機關、公立學校、公營事業一定適用。,適用主體,Notion：政府採購法 / 第01講
GPL01-L1-09,Level 1,multiple_choice,依第01講，法人或團體接受政府補助時，何種情形也要適用採購法？,補助超過50%，且達公告金額以上,只要收到1元補助即一律適用,補助未達半數但廠商同意,只要採購項目是勞務即一律適用,A,1,TRUE,第01講整理為：補助超過50%，且達公告金額以上，也要適用採購法。,補助適用,Notion：政府採購法 / 第01講
GPL01-L1-10,Level 1,multiple_choice,依第01講，採購流程中『審標』之後通常接續何者？,預算,招標,決標,保固,C,1,TRUE,本講流程為預算→招標→審標→決標→訂約→履約→驗收→保固。,採購流程,Notion：政府採購法 / 第01講
GPL01-L1-11,Level 1,multiple_choice,依第01講，採購流程的最後階段為何？,預算,招標,決標,保固,D,1,TRUE,第01講將流程整理到最後為保固。,採購流程,Notion：政府採購法 / 第01講
GPL01-L1-12,Level 1,multiple_choice,依第01講，公開招標最主要的判斷特徵是什麼？,對外公告，不特定廠商皆可投標,不經公告，直接找特定廠商,只限合格名單中的廠商投標,一律只能議價不能比價,A,1,TRUE,本講整理公開招標特徵為對外公告，不特定廠商皆可投標。,公開招標,Notion：政府採購法 / 第01講
GPL01-L1-13,Level 1,multiple_choice,依第01講，公開招標的公式為何？,公告 → 投標 → 開標,資格審查 → 名單 → 邀標,議價 → 比價 → 保固,履約 → 驗收 → 招標,A,1,TRUE,第01講直接整理公開招標公式為公告→投標→開標。,公開招標,Notion：政府採購法 / 第01講
GPL01-L1-14,Level 1,multiple_choice,依第01講，選擇性招標與公開招標最大的差異在於何者？,選擇性招標先審資格，再邀請合格廠商投標,選擇性招標完全不得審查資格,公開招標一律不得公告,公開招標只限一家廠商參與,A,1,TRUE,選擇性招標的核心是資格審查、合格名單、再邀請投標。,選擇性招標,Notion：政府採購法 / 第01講
GPL01-L1-15,Level 1,multiple_choice,依第01講，限制性招標通常適用於下列何種情形？,緊急情況或特殊需求,任何普通財物採購皆必須使用,所有採購都不得使用,只有三家以上廠商才能使用,A,1,TRUE,本講整理限制性招標適用於緊急情況、特殊需求、法律規定情形等。,限制性招標,Notion：政府採購法 / 第01講
GPL01-L1-16,Level 1,multiple_choice,依第01講，公開招標、選擇性招標、限制性招標的條文對應何者正確？,公開19、選擇性20/21、限制性22,公開1、選擇性2、限制性3,公開22、選擇性19、限制性20/21,公開101、選擇性102、限制性103,A,1,TRUE,第01講整理為公開招標第19條、選擇性招標第20與21條、限制性招標第22條。,條文對應,Notion：政府採購法 / 第01講
GPL01-L1-17,Level 1,multiple_choice,依第01講整理，公告金額為多少元以上？,10萬元以上,50萬元以上,100萬元以上,500萬元以上,C,1,TRUE,本講明列公告金額為100萬元以上。,採購金額,Notion：政府採購法 / 第01講
GPL01-L1-18,Level 1,multiple_choice,依第01講整理，小額採購為多少元以下？,1萬元以下,10萬元以下,50萬元以下,100萬元以下,B,1,TRUE,本講整理小額採購為10萬元以下，可直接採購。,採購金額,Notion：政府採購法 / 第01講
GPL01-L1-19,Level 1,multiple_choice,依第01講整理，工程採購的巨額採購門檻為何？,"1,000萬元以上","2,000萬元以上","5,000萬元以上",2億元以上,D,1,TRUE,第01講整理工程採購巨額門檻為2億元以上。,採購金額,Notion：政府採購法 / 第01講
GPL01-L1-20,Level 1,multiple_choice,依第01講整理，財物、勞務的巨額採購門檻為何？,100萬元以上,"1,000萬元以上","2,000萬元以上",2億元以上,C,1,TRUE,"第01講整理巨額採購中，財物與勞務為2,000萬元以上。",採購金額,Notion：政府採購法 / 第01講
GPL01-L1-21,Level 1,multiple_choice,依第01講整理，第一次公開招標與公開取得報價原則上各需幾家以上？,均為1家以上,均為2家以上,均為3家以上,公開招標1家，公開取得報價2家,C,1,TRUE,第01講表格整理第一次公開招標與公開取得報價均為3家以上。,開標家數,Notion：政府採購法 / 第01講
GPL01-L1-22,Level 1,multiple_choice,依第01講整理，比價與議價的家數何者正確？,比價2家以上，議價1家,比價1家，議價2家以上,比價3家以上，議價3家以上,比價與議價均不得少於5家,A,1,TRUE,第01講整理比價為2家以上，議價為1家。,開標家數,Notion：政府採購法 / 第01講
GPL01-L1-23,Level 1,multiple_choice,依第01講，下列何者最符合最低標的特色？,價格最低者得標，但品質可能較差,只看技術，不看價格,必須綜合評分後整體最佳,只能用於原住民族地區採購,A,1,TRUE,第01講整理最低標為價格最低者得標，優點是省錢，缺點是品質可能較差。,決標方式,Notion：政府採購法 / 第01講
GPL01-L1-24,Level 1,multiple_choice,依第01講，下列何者最符合最有利標？,只以最低價格決定得標,綜合價格、品質、技術、經驗等整體評估,只能由一家廠商議價,不需任何評估即可決標,B,1,TRUE,最有利標是綜合評估價格、品質、技術、經驗等，選整體最佳者。,決標方式,Notion：政府採購法 / 第01講
GPL01-L1-25,Level 1,multiple_choice,依第01講，下列何者正確？,為規避採購法而故意分批，原則上不可以,原本120萬採購拆成兩個60萬一定合法,不同標的、不同地點、不同需求也一律不得分別採購,原住民族地區未達公告金額採購不得優先由原住民法人承辦,A,1,TRUE,本講整理不得故意分批以規避採購法；若是不同標的、地點或需求，才可能分別採購。原住民族地區未達公告金額採購，應優先由原住民個人、機構或法人承辦。,分批採購與原住民族保障,Notion：政府採購法 / 第01講
