id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL27B-L1-01,Level 1,multiple_choice,某承辦人只看政府採購法母法條文，完全不管施行細則與工程會函釋。依第27講，主要問題為何？,第27講重點是母法、施行細則與工程會函釋整合判斷,只看母法永遠足夠,工程會函釋不得參考,施行細則與實務無關,A,1,TRUE,第27講主軸是將母法、施行細則與工程會函釋串聯，透過案例解析採購核心制度。,法規整合,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-02,Level 1,multiple_choice,某案同時有工程、財物、勞務，承辦人直接依自己喜好歸類。依第27講，較正確方式為何？,以預算比例最高者認定採購歸類,一律歸工程,一律歸財物,由廠商自行選擇,A,1,TRUE,第27講指出混合採購若兼具不同類別，以預算比例最高者認定其採購歸類。,混合採購判斷,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-03,Level 1,multiple_choice,某案工程占40%、設備財物占50%、維護勞務占10%。依第27講，原則較應歸為何類？,財物採購,工程採購,勞務採購,不良廠商停權,A,1,TRUE,混合採購以預算比例最高者認定；本題財物比例最高，故原則歸財物採購。,混合採購案例,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-04,Level 1,multiple_choice,承辦人把10萬元小額、100萬元公告、查核金額與巨額採購全部混為一談。依第27講，主要問題為何？,金額級距會影響程序與監督強度，須正確區分,所有金額級距都沒有意義,只有小額採購需要程序,巨額採購不用監督,A,1,TRUE,第27講列出小額、公告、查核、巨額等金額級距，屬必考數字且影響監督權限。,金額級距混淆,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-05,Level 1,multiple_choice,依第27講，查核金額級距為5000萬/1000萬。某案達查核金額以上時，原則須注意何者？,上級機關監督或備查,完全不用報請上級機關,一律小額採購處理,一律免招標,A,1,TRUE,第27講指出查核金額以上之採購或重大變更，須報請上級機關備查。,查核金額,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-06,Level 1,multiple_choice,採購案未達查核金額，但後續重大變更已達應受監督程度，承辦人仍完全不報請上級。依第27講，主要風險為何？,查核金額以上採購或重大變更涉及上級機關備查監督,重大變更永遠不用管,只有新案才需監督,變更越大越不用紀錄,A,1,TRUE,第27講指出查核金額以上之採購或重大變更須報請上級機關備查。,重大變更,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-07,Level 1,multiple_choice,某考題問巨額採購級距，考生答成10萬/100萬。依第27講，正確記憶應為何？,2億/1億/2000萬,10萬/100萬,5000萬/1000萬,80%/95%,A,1,TRUE,第27講級距表列巨額為2億/1億/2000萬。,巨額級距,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-08,Level 1,multiple_choice,某機關把設計與施工合併發包，卻稱為共同投標。依第27講，較正確名稱為何？,統包,共同投標,同等品,押標金沒收,A,1,TRUE,第27講指出統包第24條是設計與施工合併發包。,統包混淆,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-09,Level 1,multiple_choice,採統包後，機關仍把設計與施工界面切得很碎，造成互相推諉。依第27講，統包原本目的為何？,提升效率與減少界面衝突,增加界面衝突,禁止廠商整合,免除品質管理,A,1,TRUE,第27講指出統包旨在提升效率與減少界面衝突。,統包目的,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-10,Level 1,multiple_choice,二家廠商共同投標、共同簽約，但承辦人誤認為是統包。依第27講，較正確名稱為何？,共同投標,統包,同等品,限制性招標,A,1,TRUE,第27講指出共同投標第25條是二家以上廠商共同投標、簽約並負連帶責任。,共同投標混淆,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-11,Level 1,multiple_choice,共同投標廠商之一主張自己只負責部分工作，不需對契約負連帶責任。依第27講，何者正確？,共同投標廠商共同簽約並負連帶責任,共同投標不需簽約,共同投標各自完全無責,只有主辦廠商負責，其他免責,A,1,TRUE,第27講共同投標重點為二家以上廠商共同投標、簽約並負連帶責任。,共同投標責任,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-12,Level 1,multiple_choice,招標文件指定單一品牌，未允許功能、效能、品質相同產品競爭。依第27講，主要違反何種精神？,同等品制度,共同投標制度,統包制度,不良廠商停權,A,1,TRUE,第27講指出同等品第26條禁止指定單一品牌，應允許同等功能、效能、品質競爭。,同等品混淆,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-13,Level 1,multiple_choice,某產品品牌不同，但功能、效能、品質與招標需求相同。依第27講，何種制度要求機關不得無理由排除？,同等品,押標金沒收,旋轉門,請託關說紀錄,A,1,TRUE,同等品制度要求允許功能、效能、品質相同之產品競爭，不得只限單一品牌。,同等品判斷,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-14,Level 1,multiple_choice,某承辦人以為押標金只是機關增加收入的工具。依第27講，押標金/保證金主要功能為何？,防範棄標、圍標及惡意投標,增加機關財政收入,鼓勵廠商撤回投標,讓廠商免履約,A,1,TRUE,第27講指出押標金與保證金功能在防範棄標、圍標及惡意投標。,押標金目的,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-15,Level 1,multiple_choice,廠商投標後無正當理由撤回投標。依第27講，可能涉及何種效果？,押標金沒收事由,必然獎勵廠商,機關不得處理,自動轉為共同投標,A,1,TRUE,第27講列出押標金沒收事由包含撤回投標。,撤回投標,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-16,Level 1,multiple_choice,廠商提出偽造投標文件。依第27講，可能涉及何者？,第31條第2項押標金沒收事由,同等品允許競爭,統包提升效率,合法分包,A,1,TRUE,第27講列出押標金沒收事由包含偽造文件。,偽造文件,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-17,Level 1,multiple_choice,廠商得標後無正當理由不簽約。依第27講，可能有何效果？,押標金可能被沒收,必然可保留得標資格,機關不得處理,自動變更為最有利標,A,1,TRUE,第27講列出押標金沒收事由包含得標不簽約。,得標不簽約,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-18,Level 1,multiple_choice,評選委員名單與評分內容在決標前被承辦人傳給特定廠商。依第27講，主要問題為何？,違反第34條保密義務,只是公開透明,屬合法共同投標,屬同等品審查,A,1,TRUE,第27講指出底價、評選委員名單、評分內容於決標前應嚴格保密。,決標前保密,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-19,Level 1,multiple_choice,機關人員在決標前向熟識廠商透露底價。依第27講，主要違反何者？,第34條採購保密義務,第24條統包制度,第25條共同投標,第26條同等品制度,A,1,TRUE,第27講指出底價於決標前應嚴格保密。,底價外洩,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-20,Level 1,multiple_choice,採購案涉及承辦人配偶或三親等內親屬利益，承辦人仍參與審查。依第27講，主要問題為何？,違反第15條利益迴避義務,違反同等品制度,違反統包制度,違反金額級距,A,1,TRUE,第27講指出本人、配偶、三親等內親屬涉及利益應迴避。,迴避親屬,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-21,Level 1,multiple_choice,採購承辦人離職後一年即代理廠商回原機關接洽業務。依第27講，主要問題為何？,可能違反離職人員3年旋轉門限制,只要離職即可立即代理,旋轉門期限是30天,只要口頭報備即可,A,1,TRUE,第27講提到離職人員3年旋轉門限制。,旋轉門,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-22,Level 1,multiple_choice,承辦人收到民代關說後完全不留紀錄。依第27講，國考上應注意何者？,請託關說紀錄義務與廉政倫理規範之關聯,押標金一定沒收,自動成立統包,同等品不得競爭,A,1,TRUE,第27講國考複習要點指出請託關說之紀錄義務與公務員廉政倫理規範之關聯。,請託關說,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-23,Level 1,multiple_choice,廠商對招標或決標結果不服，承辦人混淆異議與申訴對象。依第27講，何者正確？,異議向機關，申訴向採購申訴審議委員會,異議向法院，申訴向廠商,異議與申訴完全相同,申訴只能向監造單位,A,1,TRUE,第27講國考複習要點指出廠商異議向機關，申訴向採購申訴審議委員會。,異議申訴區分,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-24,Level 1,multiple_choice,不良廠商刊登公報後，承辦人以為停權只會持續1天。依第27講，停權期間重點為何？,1至3年,1天,7天,永久不得營業,A,1,TRUE,第27講指出不良廠商停權為第101至103條，停權期間1至3年。,停權期間,Notion：政府採購法 / 第27講 / 再一次
GPL27B-L1-25,Level 1,multiple_choice,國考題問不良廠商停權與憲法權利保障，第27講提示應連結何者？,廠商財產權/工作權保障與釋字742號相關概念,婚姻自由,言論免責權,宗教自由絕對保障,A,1,TRUE,第27講國考複習要點提及不良廠商停權涉及廠商財產權、工作權保障與釋字742號相關概念。,釋字742連結,Notion：政府採購法 / 第27講 / 再一次
