id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL26C-L1-01,Level 1,multiple_choice,依第26講，總複習最重要的功能是什麼？,把總則、招標、決標、履約、驗收串成完整程序鏈,只背單一條文，不看流程,只讀工程品質,只看採購倫理,A,1,TRUE,第26講是全法總複習，重點在建立從招標到驗收的完整程序法律鏈結。,總複習功能,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-02,Level 1,multiple_choice,依第26講國考複習要點，採購行為法律性質常連結何種行政法問題？,私法行為與公法行為之雙階理論,法人格否認理論,占有改定理論,共同正犯理論,A,1,TRUE,第26講國考複習要點提醒採購行為之法律性質，涉及私法行為與公法行為之雙階理論。,雙階理論,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-03,Level 1,multiple_choice,機關辦理採購時公開公告、平等對待廠商並避免偏袒。這主要落實何者？,§6公平、公正、公開、維護公共利益,§65禁止轉包,§58低價處理,§112倫理準則,A,1,TRUE,第26講列§6基本原則為公平、公正、公開、維護公共利益。,基本原則操作,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-04,Level 1,multiple_choice,機關在招標文件中設定與採購標的無關的門檻，使多數廠商無法投標。依第26講，主要違反何者？,嚴禁不當差別待遇與限制競爭,低價80%程序,驗收30日程序,旋轉門限制,A,1,TRUE,第26講指出採購基本原則下嚴禁不當差別待遇與限制競爭。,限制競爭陷阱,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-05,Level 1,multiple_choice,公營事業辦理工程採購時，主張自己不是一般行政機關所以完全不受採購法拘束。依第26講，何者正確？,公營事業屬採購法適用主體之一,公營事業永遠不適用採購法,只有中央政府適用採購法,只有私人公司適用採購法,A,1,TRUE,第26講列出適用主體包括政府機關、公立學校、公營事業、受補助法人團體與BOT案件。,適用主體辨識,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-06,Level 1,multiple_choice,某BOT案件涉及政府採購程序判斷，考生完全排除採購法適用可能。依第26講，主要錯誤為何？,第26講將BOT案件列入適用主體或範圍重點,BOT必然純私人契約,BOT只適用刑法,BOT只適用親屬法,A,1,TRUE,第26講適用主體或範圍包含BOT案件。,BOT案件,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-07,Level 1,multiple_choice,採購建物新建工程，依第26講原則屬於何種採購？,工程採購,財物採購,勞務採購,救濟程序,A,1,TRUE,第26講說明工程採購例如新建、改建。,採購類別判斷,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-08,Level 1,multiple_choice,採購顧問研究服務，依第26講原則屬於何種採購？,勞務採購,工程採購,財物採購,限制性招標,A,1,TRUE,第26講說明勞務採購包括顧問、資訊、研究。,財物與勞務分辨,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-09,Level 1,multiple_choice,採購金額達100萬元時，依第26講屬於哪個重要金額門檻？,公告金額,小額採購,低價處理比例,旋轉門年限,A,1,TRUE,第26講列公告金額為100萬元。,公告金額記憶,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-10,Level 1,multiple_choice,依第26講，小額採購通常是幾萬元以下？,10萬元以下,100萬元以下,5000萬元以下,2億元以下,A,1,TRUE,第26講列小額採購為10萬元以下。,小額採購記憶,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-11,Level 1,multiple_choice,依第26講，§18招標種類的三分法為何？,公開招標、選擇性招標、限制性招標,最低標、最有利標、複數決標,異議、申訴、仲裁,工程、財物、勞務,A,1,TRUE,第26講列§18招標種類為公開招標、選擇性招標、限制性招標。,招標三分法,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-12,Level 1,multiple_choice,一般採購無特殊事由時，依第26講原則應優先想到何種招標？,公開招標,限制性招標,指定議價,私下邀標,A,1,TRUE,第26講指出公開招標是原則方式。,公開招標定位,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-13,Level 1,multiple_choice,某案先建立合格廠商名單，再邀請符合資格者投標。依第26講，這較接近何者？,選擇性招標,公開招標,限制性招標,不良廠商公告,A,1,TRUE,第26講指出選擇性招標是資格審查後邀請。,選擇性招標核心,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-14,Level 1,multiple_choice,承辦人因趕時間想直接指定廠商，但未符合無廠商投標、緊急或專屬技術等條件。依第26講，主要問題為何？,限制性招標須符合§22特定條件,限制性招標可任意採用,公開招標不得使用,選擇性招標不需資格審查,A,1,TRUE,第26講指出限制性招標須符合§22特定條件，如無廠商投標、緊急採購、專屬技術。,限制性招標限制,Notion：政府採購法 / 第26講 / 第三套
GPL26C-L1-15,Level 1,multiple_choice,採購規格明確、品質差異小的標準化產品，依第26講通常適合何種決標方式？,最低標,最有利標,履約仲裁,異議申訴,A,1,TRUE,第26講指出最低標適用於同質採購，規格明確、品質差異小。,同質採購決標,Notion：政府採購法 / 第26講 / 第三套
