id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL15-L1-01,Level 1,multiple_choice,依第15講，本講開始主要將政府採購法套用到哪些採購類型？,財物採購與勞務採購,刑事訴訟與民事訴訟,家庭買賣與私人借貸,選舉罷免與公投,A,1,TRUE,第15講明示，前面多以工程採購為例，本講開始套用到財物採購與勞務採購。,講次主軸,Notion：政府採購法 / 第15講
GPL15-L1-02,Level 1,multiple_choice,依第15講，財物與勞務採購的基本法律流程大致為何？,預算、招標、決標、履約、驗收、保固,起訴、審判、上訴、執行,登記、結婚、離婚、繼承,提案、連署、投票、公告,A,1,TRUE,第15講指出，財物與勞務採購法律架構與工程採購幾乎相同：預算、招標、決標、履約、驗收、保固。,採購流程,Notion：政府採購法 / 第15講
GPL15-L1-03,Level 1,multiple_choice,依第15講，採購前缺失防範重點不包括下列何者？,可行性評估、採購策略規劃、資格條件設計、需求確認,承辦人私人喜好,採購策略規劃,需求確認,B,1,TRUE,第15講採購前防範重點包含可行性評估、採購策略規劃、資格條件設計與需求確認。,採購前防範,Notion：政府採購法 / 第15講
GPL15-L1-04,Level 1,multiple_choice,依第15講，低價搶標容易導致下列何種問題？,偷工減料、品質下降、履約困難,必然提高品質,完全沒有履約風險,一定讓廠商獲利增加,A,1,TRUE,第15講指出政府逐漸從最低標改往最有利標，原因是低價搶標容易導致偷工減料、品質下降、履約困難。,最低標問題,Notion：政府採購法 / 第15講
GPL15-L1-05,Level 1,multiple_choice,依第15講，下列何者常採最有利標而非最低標？,技術服務、資訊服務、專業服務,所有同質影印紙,所有小額採購,完全無品質差異的文具,A,1,TRUE,第15講指出技術服務、資訊服務、專業服務案件常採最有利標，而非最低標。,最有利標,Notion：政府採購法 / 第15講
GPL15-L1-06,Level 1,multiple_choice,依第15講，下列何者屬於財物採購的範圍？,買賣、租賃、訂製、不動產、動產、權利,刑事辯護,婚姻登記,選舉訴訟,A,1,TRUE,第15講列出財物包括買賣、租賃、訂製、不動產、動產與權利。,財物採購定義,Notion：政府採購法 / 第15講
GPL15-L1-07,Level 1,multiple_choice,依第15講，下列何者是財物採購例子？,文具、電腦、印表機、藥品、醫療器材、武器裝備,清潔服務,法律顧問服務,系統維護服務,A,1,TRUE,第15講財物採購例子包括辦公用品如文具、電腦、印表機，醫療設備如藥品、醫療器材，以及軍事設備。,財物採購例子,Notion：政府採購法 / 第15講
GPL15-L1-08,Level 1,multiple_choice,依第15講，下列何者屬於勞務採購？,顧問、法律、會計、維修、機電保養、系統維護、清潔、保全、教育訓練,購買印表機,購買藥品,購買文具,A,1,TRUE,第15講列出勞務包括專業服務、技術服務、資訊服務、勞力服務與教育訓練。,勞務採購定義,Notion：政府採購法 / 第15講
GPL15-L1-09,Level 1,multiple_choice,依第15講，系統維護與軟體開發屬於哪一類勞務？,資訊服務,財物買賣,不動產處分,軍事設備,A,1,TRUE,第15講勞務採購中，資訊服務包括系統維護與軟體開發。,勞務類型,Notion：政府採購法 / 第15講
GPL15-L1-10,Level 1,multiple_choice,依第15講，採購同時包含工程、財物與勞務時，應如何認定主要採購類型？,以金額占比最高者認定,一律認定為勞務,一律認定為財物,由廠商自行決定,A,1,TRUE,第15講混合採購認定指出，同時包含工程、財物、勞務時，以金額占比最高者認定。,混合採購,Notion：政府採購法 / 第15講
