id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL01-L1-01,Level 1,multiple_choice,依第1講整理，政府採購法第1條的立法目的，下列何者不是課程整理出的四大目的之一？,建立採購制度,公平公開採購程序,提升採購效率與功能,增加政府歲入,D,1,TRUE,第1講整理的四大目的為建立採購制度、公平公開、提升效率與功能、確保採購品質；增加政府歲入不是核心目的。,立法目的,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-02,Level 1,multiple_choice,依第1講口訣，政府採購法目的可濃縮為下列何者？,公平、公開、效率、品質,秘密、效率、價格、行政,低價、快速、統一、集中,裁量、便宜、簡化、保密,A,1,TRUE,第1講明確整理考試口訣為：公平、公開、效率、品質。,立法目的,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-03,Level 1,multiple_choice,依第1講，採購法所稱採購的三大類，不包括下列何者？,工程採購,財物採購,勞務採購,人事任用採購,D,1,TRUE,第1講整理採購三大類為工程、財物、勞務；人事任用不是採購類型。,採購類型,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-04,Level 1,multiple_choice,下列何者最符合第1講所稱『工程採購』的例子？,購買辦公室印表機,委託顧問公司做教育訓練,興建道路或學校建築,租賃公務車,C,1,TRUE,工程採購包括建築、土木、水利、交通、環保、能源等工程；興建道路或學校建築屬之。,採購類型,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-05,Level 1,multiple_choice,下列何者最符合第1講所稱『財物採購』？,系統維護服務,清潔勞務,購買電腦與辦公家具,下水道工程,C,1,TRUE,財物採購包含買賣、租賃、訂製等，電腦與辦公家具屬財物。,採購類型,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-06,Level 1,multiple_choice,下列何者最符合第1講所稱『勞務採購』？,蓋捷運工程,購置公務車,購買辦公桌椅,委託系統維護服務,D,1,TRUE,勞務採購包括專業服務、技術服務、資訊服務、維修、研究發展、訓練、勞力服務等。,採購類型,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-07,Level 1,multiple_choice,依第1講，下列何者一定適用政府採購法？,完全私人出資的民間公司,政府機關,未受政府補助的人民團體,純私人買賣契約當事人,B,1,TRUE,第1講列出政府機關、公立學校、公營事業為一定適用採購法的主體。,適用主體,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-08,Level 1,multiple_choice,依第1講，下列何者屬於一定適用政府採購法的主體組合？,政府機關、公立學校、公營事業,私人公司、私立學校、一般自然人,外國公司、民間社團、私人基金會,投標廠商、下包商、個人承攬人,A,1,TRUE,第1講明列政府機關、公立學校、公營事業為一定適用。,適用主體,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-09,Level 1,multiple_choice,依第1講，法人或團體接受政府補助時，何種情形也要適用採購法？,只要有任何補助即一律適用,補助超過50%，且達公告金額以上,補助未達10%，但採購人自行決定,只要採購標的是財物即適用,B,1,TRUE,第1講整理：法人或團體接受政府補助超過50%，且達公告金額以上，也要適用採購法。,適用主體,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-10,Level 1,multiple_choice,依第1講，採購流程的正確順序為何？,決標 → 預算 → 招標 → 驗收 → 履約,預算 → 招標 → 審標 → 決標 → 訂約 → 履約 → 驗收 → 保固,招標 → 決標 → 預算 → 保固 → 訂約,履約 → 招標 → 審標 → 預算 → 決標,B,1,TRUE,第1講整理採購七/八步驟為：預算、招標、審標、決標、訂約、履約、驗收、保固。,採購流程,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-11,Level 1,multiple_choice,依第1講，公開招標的基本特徵為何？,直接找特定廠商議價,先建立合格廠商名單再邀標,對外公告，不特定廠商皆可投標,不公告且只能一家公司投標,C,1,TRUE,公開招標之重點為對外公告，不特定廠商皆可投標。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-12,Level 1,multiple_choice,依第1講，公開招標的簡化公式為何？,公告 → 投標 → 開標,議價 → 簽約 → 保固,資格審查 → 名單 → 再邀請投標,驗收 → 決標 → 招標,A,1,TRUE,第1講將公開招標濃縮為：公告 → 投標 → 開標。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-13,Level 1,multiple_choice,依第1講，選擇性招標的核心特徵為何？,完全不審資格,先審資格，建立合格廠商名單，再邀請投標,只能一家公司參與,只能用於小額採購,B,1,TRUE,選擇性招標的流程是資格審查、合格廠商名單、再邀請投標。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-14,Level 1,multiple_choice,依第1講，限制性招標的基本特徵為何？,不特定廠商皆可投標,先公告，再由所有廠商自由投標,直接找特定廠商，通常以議價或比價方式處理,必須至少三家廠商才能成立,C,1,TRUE,限制性招標的重點是直接找特定廠商，不經一般公開公告程序，並以議價或比價進行。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-15,Level 1,multiple_choice,依第1講，公開招標主要規定於政府採購法第幾條？,第1條,第7條,第19條,第22條,C,1,TRUE,第1講整理公開招標為第19條。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-16,Level 1,multiple_choice,依第1講，選擇性招標主要對應政府採購法哪些條文？,第1、2條,第20、21條,第22、23條,第101、102條,B,1,TRUE,第1講整理選擇性招標為第20、21條。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-17,Level 1,multiple_choice,依第1講，限制性招標主要對應政府採購法第幾條？,第2條,第7條,第19條,第22條,D,1,TRUE,第1講整理限制性招標為第22條。,招標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-18,Level 1,multiple_choice,依第1講整理，公告金額為新臺幣多少元以上？,10萬元以上,50萬元以上,100萬元以上,"1,000萬元以上",C,1,TRUE,第1講整理公告金額為100萬元以上，屬常考數字。,採購金額,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-19,Level 1,multiple_choice,依第1講整理，小額採購為新臺幣多少元以下？,1萬元以下,10萬元以下,100萬元以下,"1,000萬元以下",B,1,TRUE,第1講整理小額採購為10萬元以下，可直接採購。,採購金額,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-20,Level 1,multiple_choice,依第1講整理，工程採購達多少元以上屬巨額採購？,"1,000萬元以上","5,000萬元以上",1億元以上,2億元以上,D,1,TRUE,第1講整理巨額採購中，工程為2億元以上。,採購金額,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-21,Level 1,multiple_choice,依第1講整理，工程採購達多少元以上屬查核金額？,100萬元以上,"1,000萬元以上","5,000萬元以上",2億元以上,C,1,TRUE,"第1講整理查核金額中，工程為5,000萬元以上。",採購金額,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-22,Level 1,multiple_choice,依第1講整理，第一次公開招標原則上應有幾家以上廠商？,1家以上,2家以上,3家以上,5家以上,C,1,TRUE,第1講表格整理公開招標第一次為3家以上。,開標家數,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-23,Level 1,multiple_choice,依第1講整理，比價原則上需要幾家以上？,1家以上,2家以上,3家以上,4家以上,B,1,TRUE,第1講整理比價為2家以上。,開標家數,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-24,Level 1,multiple_choice,依第1講整理，最低標與最有利標的差異，下列何者正確？,最低標重價格，最有利標重整體評估,最低標一定不能用於政府採購,最有利標只看價格最低,二者完全相同，只是名稱不同,A,1,TRUE,最低標以價格最低為核心；最有利標則綜合評估價格、品質、技術、經驗等。,決標方式,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-25,Level 1,multiple_choice,依第1講整理，關於分批採購與分別採購，下列何者正確？,任何拆分採購都一定合法,為規避採購法而故意分批，原則上不可以,只要拆成兩案就一定不用適用採購法,分別採購與故意分批規避完全相同,B,1,TRUE,不得故意分批採購以規避採購法；不同標的、地點或需求則可能構成可分別採購。,分批與分別採購,Notion：政府採購法 [空大錄影] / 01
GPL01-L1-26,Level 1,multiple_choice,依第1講整理，原住民族地區未達公告金額之採購，原則上應優先由何者承辦？,外國廠商,任一最低價廠商,原住民個人、機構或法人,中央主管機關指定之學校,C,1,TRUE,第1講整理原住民族地區未達公告金額採購，應優先由原住民個人、機構、法人承辦。,原住民族保障,Notion：政府採購法 [空大錄影] / 01
